,Frame,RealHeading,Rsqr,X,Y,Z,centroid use,d_th,dx,dy,dz,error,heading
0,1.0,-28.64788975641812,-1.0,-4.99382896285843,0.7042403889833333,-0.01129600601296965,0.0,0.0,-0.09588510770470116,0.0,0.17551651244172178,4.960524086078026e-16,-28.647889756418135
1,2.0,-28.647889756418135,-1.0,-5.089714070523227,0.7042403889833333,0.16422050641319816,0.0,0.0,-0.09588510766479708,0.0,0.1755165124261678,-0.0,-28.647889756418135
2,3.0,-28.64788975641812,-1.0,-5.1855991782702375,0.7042403889833333,0.3397370187324245,0.0,0.0,-0.09588510774701042,0.0,0.17551651231922635,4.960524086078026e-16,-28.647889756418135
3,4.0,-28.647889756418135,-1.0,-5.281484285781465,0.7042403889833333,0.5152535311813191,0.0,0.0,-0.09588510751122747,0.0,0.1755165124488946,-0.0,-28.647889756418135
4,5.0,-28.647889762595685,-1.0,-5.377369394916667,0.7042403889833333,0.6907700440333332,0.0,0.0,-0.09588510782578741,0.0,0.17551651238298505,-0.0,-28.647889762595685
5,6.0,-28.647889756418135,-1.0,-5.473254501434263,0.7042403889833333,0.8662865559014017,0.0,0.0,-0.09588510782701043,0.0,0.17551651233709753,2.1563720636246764e-10,-28.647889762595685
6,7.0,-28.64788975641812,-1.0,-5.56913960892949,0.7042403889833333,1.0418030683250918,0.0,0.0,-0.09588510749522694,0.0,0.17551651242369015,2.1563770241487634e-10,-28.647889762595685
7,8.0,-28.647889756418135,-1.0,-5.665024716574551,0.7042403889833333,1.2173195806377393,0.0,0.0,-0.09588510764506086,0.0,0.17551651231264742,2.1563720636246764e-10,-28.647889762595685
8,9.0,-28.64788975641815,-1.0,-5.760909824339768,0.7042403889833333,1.3928360931036539,0.0,0.0,-0.09588510776521719,0.0,0.1755165124659146,2.1563671031005893e-10,-28.647889762595685
9,10.0,-28.64788975641812,-1.0,-5.856794933566667,0.7042403889833333,1.56835260595,0.0,0.0,-0.09588510772068393,0.0,0.17551651236179322,-0.0,-28.64788975641812
10,11.0,-28.64788975641812,-1.0,-5.952680039726233,0.7042403889833333,1.7438691178194357,0.0,0.0,-0.09588510766578118,0.0,0.17551651235398857,-0.0,-28.64788975641812
11,12.0,-28.647889756418135,-1.0,-6.048565147342797,0.7042403889833333,1.9193856302155567,0.0,0.0,-0.09588510761656366,0.0,0.1755165123961211,-4.960524086078023e-16,-28.64788975641812
12,13.0,-28.647889762595696,-1.0,-6.14445025514877,0.7042403889833333,2.0949021425936696,0.0,0.0,-0.09588510780597304,0.0,0.17551651237811283,-2.1563807440768303e-10,-28.64788975641812
13,14.0,-28.64788975641812,-1.0,-6.2403353628668645,0.7042403889833333,2.270418654975343,0.0,0.0,-0.09588510771809489,0.0,0.17551651238167354,-0.0,-28.64788975641812
14,15.0,-28.64788975641815,-1.0,-6.336220472166667,0.7042403889833333,2.445935167783334,0.0,0.0,-0.09588510772184122,0.0,0.17551651243649014,-0.0,-28.64788975641815
15,16.0,-28.647889756418135,-1.0,-6.432105578423873,0.7042403889833333,2.621451679720931,0.0,0.0,-0.09588510783516746,0.0,0.17551651230909782,4.960524086078023e-16,-28.64788975641815
16,17.0,-28.64788975641815,-1.0,-6.527990685894524,0.7042403889833333,2.7969681920972413,0.0,0.0,-0.09588510747065104,0.0,0.17551651237631027,-0.0,-28.64788975641815
17,18.0,-28.64788975641812,-1.0,-6.6238757937020445,0.7042403889833333,2.9724847044671128,0.0,0.0,-0.09588510780752024,0.0,0.17551651236987142,9.921048172156052e-16,-28.64788975641815
18,19.0,-28.647889756418135,-1.0,-6.719760901378546,0.7042403889833333,3.1480012168644866,0.0,0.0,-0.09588510767650149,0.0,0.17551651239737387,4.960524086078023e-16,-28.64788975641815
19,20.0,-28.647889756418135,-1.0,-6.815646010766667,0.7042403889833333,3.323517729716667,0.0,0.0,-0.09588510768495784,0.0,0.17551651246056066,-0.0,-28.647889756418135
20,21.0,-28.647889762595696,-1.0,-6.911531116994739,0.7042403889833333,3.49903424163447,0.0,0.0,-0.0958851079312355,0.0,0.1755165123094229,-2.1563757835527451e-10,-28.647889756418135
21,22.0,-28.64788975641815,-1.0,-7.007416224218299,0.7042403889833333,3.6745507540444775,0.0,0.0,-0.0958851072235598,0.0,0.17551651241000732,-4.960524086078021e-16,-28.647889756418135
22,23.0,-28.647889756418135,-1.0,-7.103301332290488,0.7042403889833333,3.8500672664018993,0.0,0.0,-0.09588510807218853,0.0,0.17551651235742183,-0.0,-28.647889756418135
23,24.0,-28.64788975641815,-1.0,-7.199186439839352,0.7042403889833333,4.0255837788071975,0.0,0.0,-0.09588510754886403,0.0,0.1755165124052982,-4.960524086078021e-16,-28.647889756418135
24,25.0,-28.64788975641815,-1.0,-7.295071549433334,0.7042403889833333,4.201100291566667,0.0,0.0,-0.09588510772992542,0.0,0.17551651236218024,-0.0,-28.64788975641815
25,26.0,-28.64788975641816,-1.0,-7.390956655321078,0.7042403889833333,4.376616803566629,0.0,0.0,-0.09588510775180126,0.0,0.17551651239725086,-3.7203930645585143e-16,-28.64788975641815
26,27.0,-28.647889756418135,-1.0,-7.486841762933433,0.7042403889833333,4.552133315952179,0.0,0.0,-0.09588510761235458,0.0,0.17551651238555,4.960524086078023e-16,-28.64788975641815
27,28.0,-28.64788975641815,-1.0,-7.582726870727282,0.7042403889833333,4.727649828318911,0.0,0.0,-0.0958851077938494,0.0,0.17551651236673216,-0.0,-28.64788975641815
28,29.0,-28.64788975641812,-1.0,-7.67861197834746,0.7042403889833333,4.903166340703674,0.0,0.0,-0.09588510762017766,0.0,0.17551651238476307,9.921048172156052e-16,-28.64788975641815
29,30.0,-28.64788975641812,-1.0,-7.774497087966666,0.7042403889833333,5.078682853483332,0.0,0.0,-0.0958851077342997,0.0,0.175516512384843,-0.0,-28.64788975641812
30,31.0,-28.647889756418135,-1.0,-7.870382193646285,0.7042403889833333,5.254199365513845,0.0,0.0,-0.09588510756452528,0.0,0.17551651242532795,-4.960524086078023e-16,-28.64788975641812
31,32.0,-28.647889756418135,-1.0,-7.966267301440569,0.7042403889833333,5.429715877840975,0.0,0.0,-0.09588510779428372,0.0,0.17551651232713006,-4.960524086078023e-16,-28.64788975641812
32,33.0,-28.64788975641812,-1.0,-8.062152409045423,0.7042403889833333,5.605232390291494,0.0,0.0,-0.09588510760485391,0.0,0.17551651245051936,-0.0,-28.64788975641812
33,34.0,-28.64788975641812,-1.0,-8.15803751666065,0.7042403889833333,5.780748902696727,0.0,0.0,-0.09588510761522784,0.0,0.17551651240523292,-0.0,-28.64788975641812
34,35.0,-28.647889756418135,-1.0,-8.253922626566666,0.7042403889833333,5.956265415333334,0.0,0.0,-0.09588510771946979,0.0,0.17551651233613885,-0.0,-28.647889756418135
35,36.0,-28.647889756418135,-1.0,-8.349807732332351,0.7042403889833333,6.131781927373818,0.0,0.0,-0.09588510795223115,0.0,0.1755165123409519,-0.0,-28.647889756418135
36,37.0,-28.64788975641815,-1.0,-8.44569284026338,0.7042403889833333,6.307298439749968,0.0,0.0,-0.09588510793102856,0.0,0.1755165123761504,-4.960524086078021e-16,-28.647889756418135
37,38.0,-28.647889756418135,-1.0,-8.541577947639855,0.7042403889833333,6.482814952186351,0.0,0.0,-0.09588510737647482,0.0,0.1755165124363831,-0.0,-28.647889756418135
38,39.0,-28.64788975641815,-1.0,-8.637463055565402,0.7042403889833333,6.658331464535655,0.0,0.0,-0.09588510792554672,0.0,0.17551651234930343,-4.960524086078021e-16,-28.647889756418135
39,40.0,-28.64788975641812,-1.0,-8.733348165166666,0.7042403889833333,6.833847977233333,0.0,0.0,-0.09588510756093171,0.0,0.17551651241130095,-0.0,-28.64788975641812
40,41.0,-28.647889722494316,-1.0,-8.829233270858065,0.7042403889833333,7.009364489289342,0.0,0.0,-0.09588510773173198,0.0,0.1755165123423863,1.1841641579467802e-09,-28.64788975641812
41,42.0,-28.64788975128772,-1.0,-8.925118378514082,0.7042403889833333,7.184881001757061,0.0,0.0,-0.09588510765601654,0.0,0.17551651246771893,1.7908471657455808e-10,-28.64788975641812
42,43.0,-28.64788977903403,-1.0,-9.021003486274061,0.7042403889833333,7.360397514110482,0.0,0.0,-0.0958851077599796,0.0,0.17551651235342103,-7.894442172259933e-10,-28.64788975641812
43,44.0,-28.647889801649914,-1.0,-9.116888593893329,0.7042403889833333,7.535914026401382,0.0,0.0,-0.09588510761926727,0.0,0.17551651229090037,-1.578887441100728e-09,-28.64788975641812
44,45.0,-28.64788971118637,-1.0,-9.212773703783332,0.7042403889833333,7.7114305390833335,0.0,0.0,-0.09588510786537086,0.0,0.17551651241702615,-0.0,-28.64788971118637
45,46.0,-28.647889751287735,-1.0,-9.308658809252801,0.7042403889833333,7.8869470512385895,0.0,0.0,-0.09588510749410162,0.0,0.17551651242018096,-1.399801735196992e-09,-28.64788971118637
