,Frame,RealHeading,Rsqr,X,Y,Z,centroid use,d_th,dx,dy,dz,error,heading
0,1.0,-1.2855322770611657,-0.22,-5.048040023535294,0.7042403889833333,-0.01439438527302234,0.0,0.0,-0.05214306178106476,0.0,0.19437694292336746,-0.5923919351925824,-0.5239933237003748
1,2.0,-2.047071228690174,-0.4,-5.054684639858227,0.7042403889833333,0.18141101666797493,0.0,0.0,-0.006644616322932784,0.0,0.19580540194099727,-0.7440278011060446,-0.5239933237003748
2,3.0,-2.808610199316888,-0.44,-5.087410129536776,0.7042403889833333,0.37768052733282786,0.0,0.0,-0.03272548967854938,0.0,0.19626951066485293,-0.8134332333380329,-0.5239933237003748
3,4.0,-3.570149147632158,-0.7,-5.126496368242391,0.7042403889833333,0.5769034488650556,0.0,0.0,-0.03908623870561456,0.0,0.19922292153222776,-0.8532292904211286,-0.5239933237003748
4,5.0,-4.331688121291434,-0.71,-5.165147060316667,0.7042403889833333,0.7712451025666668,0.0,0.0,-0.0461048002796316,0.0,0.19868930208785218,-0.0,-4.331688121291434
5,6.0,-5.093227073866368,-0.66,-5.196076495409574,0.7042403889833333,0.9603667033074356,0.0,0.0,-0.02347532688755205,0.0,0.18477395235452776,-0.14951992941418854,-4.331688121291434
6,7.0,-5.8547660395792835,-0.86,-5.257947550690253,0.7042403889833333,1.1662659523387264,0.0,0.0,-0.06187105528067871,0.0,0.20589924903129087,-0.2601432590118145,-4.331688121291434
7,8.0,-6.616304999658588,-0.79,-5.28089517949335,0.7042403889833333,1.3503284684203627,0.0,0.0,-0.022947628803096976,0.0,0.18406251608163626,-0.34530102201833857,-4.331688121291434
8,9.0,-7.3778439548212384,-0.91,-5.349908858759833,0.7042403889833333,1.5493189214910739,0.0,0.0,-0.06901367926648305,0.0,0.19899045307071117,-0.4128788643651397,-4.331688121291434
9,10.0,-8.139382909783174,-0.85,-5.3950315753,0.7042403889833333,1.7422391984833332,0.0,0.0,-0.03214790790074851,0.0,0.18821401671338434,-0.0,-8.139382909783174
10,11.0,-8.90092187139726,-0.91,-5.448905369358794,0.7042403889833333,1.938957217187433,0.0,0.0,-0.06684860269821247,0.0,0.20142427898297477,-0.08555731334540297,-8.139382909783174
11,12.0,-9.66246082671282,-0.91,-5.502782464764362,0.7042403889833333,2.1219965265463236,0.0,0.0,-0.05387709540556784,0.0,0.18303930935889068,-0.15762836654601978,-8.139382909783174
12,13.0,-10.423999786481655,-0.89,-5.583560966329385,0.7042403889833333,2.3218363067024597,0.0,0.0,-0.08077850156502286,0.0,0.19983978015613602,-0.2191689297289973,-8.139382909783174
13,14.0,-11.185538747319725,-0.84,-5.606348365018151,0.7042403889833333,2.4943752507874875,0.0,0.0,-0.022787398688766558,0.0,0.1725389440850278,-0.2723298274986057,-8.139382909783174
14,15.0,-11.947077712331831,-0.86,-5.6888903165333335,0.7042403889833333,2.695823732949999,0.0,0.0,-0.08091298825395299,0.0,0.1947070129268722,-0.0,-11.947077712331831
15,16.0,-12.708616675276131,-0.97,-5.750907939950387,0.7042403889833333,2.8827701233852405,0.0,0.0,-0.06364658667828227,0.0,0.19368785967088087,-0.05992304138229533,-11.947077712331831
16,17.0,-13.47015562240743,-0.96,-5.807526428811286,0.7042403889833333,3.0619558371156845,0.0,0.0,-0.056618488860899596,0.0,0.179185713730444,-0.11307055039081947,-11.947077712331831
17,18.0,-14.231694592948436,-0.95,-5.892913982837982,0.7042403889833333,3.252439626483399,0.0,0.0,-0.08538755402669551,0.0,0.19048378936771426,-0.1605302071159252,-11.947077712331831
18,19.0,-14.993233553618664,-0.93,-5.960514012316856,0.7042403889833333,3.4357178711670127,0.0,0.0,-0.06760002947887411,0.0,0.18327824468361387,-0.2031687047622648,-11.947077712331831
19,20.0,-15.754772521238069,-0.97,-6.045425932233333,0.7042403889833333,3.6277887426333337,0.0,0.0,-0.07461383259980359,0.0,0.1860077746139095,-0.0,-15.754772521238069
20,21.0,-16.51631147676743,-0.96,-6.1328880175032525,0.7042403889833333,3.8150998370180615,0.0,0.0,-0.09776017258659309,0.0,0.1933741912371394,-0.04610829461533081,-15.754772521238069
21,22.0,-17.27785043306264,-0.94,-6.231728584030945,0.7042403889833333,4.01702577646977,0.0,0.0,-0.09884056652769235,0.0,0.20192593945170811,-0.0881520486431594,-15.754772521238069
22,23.0,-18.039389395208236,-0.96,-6.306501919470553,0.7042403889833333,4.188873070250742,0.0,0.0,-0.07477333543960807,0.0,0.17184729378097252,-0.12664602021269217,-15.754772521238069
23,24.0,-18.800928353476774,-0.97,-6.396926812444866,0.7042403889833333,4.372118718563862,0.0,0.0,-0.09042489297431278,0.0,0.18324564831311996,-0.16202156483806784,-15.754772521238069
24,25.0,-19.56246730155468,-0.97,-6.463064359550001,0.7042403889833333,4.534019711233333,0.0,0.0,-0.07798023895408068,0.0,0.17192201941418528,-0.0,-19.56246730155468
25,26.0,-20.324006275345056,-0.97,-6.542555464967933,0.7042403889833333,4.702726255498108,0.0,0.0,-0.06764841356898632,0.0,0.15868551752006077,-0.037469924161271054,-19.56246730155468
26,27.0,-21.085545233220195,-0.94,-6.680220951459606,0.7042403889833333,4.920388464124508,0.0,0.0,-0.13766548649167287,0.0,0.2176622086263995,-0.07223327235882485,-19.56246730155468
27,28.0,-21.84708419460558,-0.98,-6.744989624858643,0.7042403889833333,5.064628643109048,0.0,0.0,-0.0647686733990378,0.0,0.14424017898454,-0.10457308044864908,-19.56246730155468
28,29.0,-22.608623156841855,-0.98,-6.865010239409617,0.7042403889833333,5.260525653277696,0.0,0.0,-0.1200206145509739,0.0,0.19589701016864858,-0.13473424870480638,-19.56246730155468
29,30.0,-23.370162103599405,-0.98,-6.939961773833332,0.7042403889833333,5.4105157356,0.0,0.0,-0.06642709306695593,0.0,0.1434045742319343,-0.0,-23.370162103599405
30,31.0,-24.131701072041313,-0.99,-7.054322133767072,0.7042403889833333,5.59199204985417,0.0,-0.5244204448069115,-0.12288480129049884,0.0,0.1880618223445394,-0.009826017773347932,-23.894582548406316
31,32.0,-24.893240036786068,-0.98,-7.129191716766873,0.7042403889833333,5.734817556927016,0.0,0.0,-0.07486958299980095,0.0,0.14282550707284614,-0.0401176177510032,-23.894582548406316
32,33.0,-25.654778985957197,-0.98,-7.268510153191953,0.7042403889833333,5.929842480299036,0.0,0.0,-0.13931843642508035,0.0,0.19502492337201982,-0.06861085954060918,-23.894582548406316
33,34.0,-26.41631795442508,-0.99,-7.355510052337332,0.7042403889833333,6.08364201738499,0.0,-0.8409853990938394,-0.0869998991453782,0.0,0.15379953708595373,-0.06362544582574486,-24.735567947500154
34,35.0,-27.177856912253844,-0.97,-7.474012729,0.7042403889833333,6.2534071886166664,0.0,0.0,-0.12849991980868314,0.0,0.18291036988260956,-0.0,-27.177856912253844
35,36.0,-27.939395875219827,-0.99,-7.562646131724043,0.7042403889833333,6.397648109214599,0.0,0.0,-0.0786361595780285,0.0,0.13109572194700014,-0.027256815657972437,-27.177856912253844
36,37.0,-28.70093482767861,-0.98,-7.676742504768806,0.7042403889833333,6.554574320466322,0.0,0.0,-0.11409637304476306,0.0,0.15692621125172224,-0.05306718838844016,-27.177856912253844
37,38.0,-29.462473793486392,-0.99,-7.820674398980554,0.7042403889833333,6.743112794352316,0.0,-0.3039845832452739,-0.14393189421174757,0.0,0.18853847388599476,-0.0672255938815686,-27.48184149549912
38,39.0,-30.22401275041456,-0.98,-7.953307584181014,0.7042403889833333,6.909045517245618,0.0,0.0,-0.13263318520046052,0.0,0.1659327228933014,-0.09072823246733935,-27.48184149549912
39,40.0,-30.985551714748258,-0.98,-8.062859452883334,0.7042403889833333,7.058972803766666,0.0,0.0,-0.06757989929806651,0.0,0.10867166422149932,-0.0,-30.985551714748258
40,41.0,-31.74709067331616,-0.99,-8.18375285597101,0.7042403889833333,7.214896212277552,0.0,-0.15496685860714146,-0.1628653724919289,0.0,0.1971790308104353,-0.019106383832222757,-31.1405185733554
41,42.0,-32.50862962806161,-0.98,-8.322585266804973,0.7042403889833333,7.373229047246767,0.0,0.0,-0.13883241083396314,0.0,0.15833283496921435,-0.04208455017510955,-31.1405185733554
42,43.0,-33.27016858947437,-0.99,-8.423912549071979,0.7042403889833333,7.507140839971378,0.0,0.0517831479498369,-0.10132728226700571,0.0,0.13391179272461162,-0.0655672410616803,-31.088735425405563
43,44.0,-34.031707547009006,-0.99,-8.617496102225179,0.7042403889833333,7.715647854130393,0.0,-0.012075089083515785,-0.19358355315319997,0.0,0.2085070141590144,-0.08612253817917867,-31.10081051448908
44,45.0,-34.79324654534729,-0.99,-8.7039022564,0.7042403889833333,7.8236561032,0.0,0.0,-0.07056696670174567,0.0,0.09463280083632597,-0.0,-34.79324654534729
45,46.0,-35.554785420618664,-0.99,-8.890623920717719,0.7042403889833333,8.021849925292786,0.0,-0.0035061245498768804,-0.20256085179079442,0.0,0.2115692703260672,-0.021320132909082468,-34.79675266989717
46,47.0,-36.31632441810801,-0.99,-8.950581290059072,0.7042403889833333,8.092664109549926,0.0,0.0,-0.05995736934135287,0.0,0.0708141842571397,-0.04184266366596164,-34.79675266989717
47,48.0,-37.07786338231507,-0.99,-9.083730977510772,0.7042403889833333,8.23470833846613,0.0,-0.01572078300946738,-0.13314968745170042,0.0,0.1420442289162036,-0.06109817887966415,-34.81247345290664
48,49.0,-37.839402313691494,-0.99,-9.238267252679432,0.7042403889833333,8.389611341152534,0.0,0.0,-0.15453627516865964,0.0,0.1549030026864049,-0.07999409810153417,-34.81247345290664
